Number;Start time in milliseconds;End time in milliseconds;"Text"
207;1348964;1350731;"Stature?"
208;1350766;1353435;"We've brought up
eight barrels of ale from the cellar."
209;1353469;1356004;"- Perhaps we'll find out.
- In any case,"
210;1356038;1358707;"<i>candles.</i>"
211;1362813;1365882;"Why is your mother so dead set
on us getting pretty for the King?"
212;1365916;1368751;"It's for the Queen, I bet.
I hear she's a sleek bit of mink."
213;1368786;1370887;"I hear the prince
is a right royal prick."
214;1370921;1372955;"Think of all those
southern girls he gets to stab"
215;1372990;1374557;"with his right
royal prick."
216;1376325;1378460;"Go on, Tommy,
shear him good."
217;1378494;1380963;"He's never met a girl he likes better
than his own hair."
218;1380997;1383098;"<i>( Laughter )</i>"
219;1417868;1420736;"- <i>( Pup barks )</i>
- Gods, but they grow fast."
220;1423106;1424573;"Brandon!"
221;1424607;1427943;"I saw the king.
He's got hundreds of people."
222;1427977;1431180;"How many times
have I told you no climbing?"
223;1431214;1434082;"But he's coming right now--
down our road."
224;1440923;1443491;"I want you
to promise me,"
225;1443526;1445293;"no more climbing."
226;1449698;1451299;"I promise."
227;1453569;1456539;"- Do you know what?
- What?"
228;1456573;1458874;"You always look
at your feet before you lie."
229;1458909;1461510;"( Chuckles )"
230;1461545;1464914;"Run and find your father.
Tell him the King is close."
231;1509027;1512730;"Where's Arya?
Sansa, where's your sister?"
232;1522842;1524476;"- Hey hey hey hey.
- Ohh."
233;1524510;1526811;"What are you doing
with that on?"
234;1529614;1531750;"- Go on.
- ( Arya groans )"
235;1533052;1534853;"Move!"
236;1552404;1554572;"( Neighs )"
237;1616867;1618868;"Your Grace."
238;1622874;1624975;"You've got fat."
239;1631516;1633684;"( Laughter )"
240;1637054;1639689;"- Cat!
- Your Grace."
241;1642893;1645961;"Nine years-- why haven't I seen you?
Where the hell have you been?"
242;1645995;1647896;"Guarding the north
for you, your Grace."
243;1647931;1650700;"<i>Winterfell is yours.</i>"
244;1653737;1656173;"- Where's the imp?
- Will you shut up?"
245;1656207;1658909;"Robert:
Who have we here?"
246;1658943;1660711;"You must be Robb."
247;1663382;1667018;"My, you're
a pretty one."
248;1667053;1669020;"Your name is?"
249;1669054;1671622;"Arya."
250;1671657;1674693;"Oh, show us
your muscles."
251;1676462;1677963;"You'll be a soldier."
252;1680567;1683369;"Arya:
<i>That's Jaime Lannister,</i>
<i>the Queen's twin brother.</i>"
253;1683403;1685605;"Sansa:
<i>Would you please shut up?</i>"
254;1695048;1697249;"My Queen."
255;1697284;1698918;"My Queen."
256;1698953;1701154;"Take me to your crypt.
I want to pay my respects."
257;1701188;1703423;"We've been riding
for a month, my love."
258;1703457;1705158;"Surely the dead can wait."
259;1705193;1707160;"Ned."
260;1716336;1718137;"Where's the imp?"
261;1721507;1723541;"Where is our brother?"
262;1723575;1725776;"Go and find
the little beast."
263;1727880;1730314;"Tell me about
Jon Arryn."
